sequence_id,timestep,ear,label
seq_alert_001,0,0.300,0
seq_alert_001,1,0.295,0
seq_alert_001,2,0.292,0
seq_alert_001,3,0.289,0
seq_alert_001,4,0.294,0
seq_alert_001,5,0.297,0
seq_alert_001,6,0.291,0
seq_alert_001,7,0.296,0
seq_alert_001,8,0.299,0
seq_alert_001,9,0.293,0
seq_alert_001,10,0.295,0
seq_alert_001,11,0.297,0
seq_alert_001,12,0.296,0
seq_alert_001,13,0.298,0
seq_alert_001,14,0.294,0
seq_alert_001,15,0.296,0
seq_drowsy_001,0,0.195,1
seq_drowsy_001,1,0.188,1
seq_drowsy_001,2,0.181,1
seq_drowsy_001,3,0.176,1
seq_drowsy_001,4,0.172,1
seq_drowsy_001,5,0.170,1
seq_drowsy_001,6,0.168,1
seq_drowsy_001,7,0.165,1
seq_drowsy_001,8,0.163,1
seq_drowsy_001,9,0.161,1
seq_drowsy_001,10,0.159,1
seq_drowsy_001,11,0.158,1
seq_drowsy_001,12,0.160,1
seq_drowsy_001,13,0.162,1
seq_drowsy_001,14,0.159,1
seq_drowsy_001,15,0.157,1
seq_alert_002,0,0.282,0
seq_alert_002,1,0.286,0
seq_alert_002,2,0.289,0
seq_alert_002,3,0.291,0
seq_alert_002,4,0.287,0
seq_alert_002,5,0.284,0
seq_alert_002,6,0.286,0
seq_alert_002,7,0.288,0
seq_alert_002,8,0.289,0
seq_alert_002,9,0.285,0
seq_alert_002,10,0.286,0
seq_alert_002,11,0.287,0
seq_alert_002,12,0.289,0
seq_alert_002,13,0.290,0
seq_alert_002,14,0.286,0
seq_alert_002,15,0.288,0
seq_drowsy_002,0,0.205,1
seq_drowsy_002,1,0.198,1
seq_drowsy_002,2,0.191,1
seq_drowsy_002,3,0.186,1
seq_drowsy_002,4,0.182,1
seq_drowsy_002,5,0.178,1
seq_drowsy_002,6,0.174,1
seq_drowsy_002,7,0.171,1
seq_drowsy_002,8,0.169,1
seq_drowsy_002,9,0.166,1
seq_drowsy_002,10,0.164,1
seq_drowsy_002,11,0.163,1
seq_drowsy_002,12,0.161,1
seq_drowsy_002,13,0.160,1
seq_drowsy_002,14,0.158,1
seq_drowsy_002,15,0.157,1
